exp_name,constraint mean,constraint median,constraint std,distribution mean,distribution median,distribution std,weight,gr,norm_upper_bound,iterations_max,gradient_norm,iteration_func
"spiral_base_dps_circle(1.5,0,1,2)",0.0,0.0,0.0,0.0163722124695777,0.0115379691123962,0.0214160878374597,1.0,,,,,
"spiral_base_dsg_circle(1.5,0,1,2)",0.0,0.0,0.0,0.0145809532999992,0.0099126100540161,0.0185859522215625,,0.1,,,,
"spiral_base_trust_circle(1.5,0,1,2)",0.0,0.0,0.0,0.0116851952672004,0.0075246095657348,0.0169592270634329,,,35.0,1.0,1.0,"        extra_args[""iteration_func""] = lambda x: 1"
"spiral_base_dps_cubic(1,0,-1,0)",0.1075419485569,0.0711744725704193,0.1132845431566238,0.1344912444353103,0.1284128725528717,0.0850371355882827,0.06,,,,,
"spiral_base_dsg_cubic(1,0,-1,0)",0.0403013005852699,0.0322948098182678,0.0323671624064445,0.1169991160631179,0.1216236352920532,0.0658567515749956,,0.1,,,,
"spiral_base_trust_cubic(1,0,-1,0)",0.1615365743637085,0.0705074071884155,0.1997053474187851,0.0192000521421432,0.0124751329421997,0.0216044353765642,,,35.0,2.0,1.0,"        extra_args[""iteration_func""] = lambda x: 5"
"spiral_base_dps_line(2,1,-1)",0.1180495768785476,0.1169596910476684,0.063439130783081,0.0360807688236236,0.029778778553009,0.0324794157085522,0.1,,,,,
"spiral_base_dsg_line(2,1,-1)",0.0481916144490242,0.0458493530750274,0.0319085493683815,0.0218736235499382,0.0156084895133972,0.0297861229167079,,0.1,,,,
"spiral_base_trust_line(2,1,-1)",0.0778154283761978,0.0363489985466003,0.1829084455966949,0.0225777687430381,0.0104619264602661,0.0382365098004096,,,35.0,2.0,1.0,"        extra_args[""iteration_func""] = lambda x: 1
"
"spiral_base_trust_line(2,1,-1)",0.044524498283863,0.036204993724823,0.0825381800532341,0.0085781016945838,0.0060870945453643,0.0130183865512783,,,35.0,2.0,1.0,"        extra_args[""iteration_func""] = lambda x: 2
"
spiral_base_dps_polylike(1x^2+1y^3=3),0.2330630719661712,0.2186368703842163,0.1411606073379516,0.1306733802556991,0.11805260181427,0.0880208156023208,0.1,,,,,
spiral_base_dsg_polylike(1x^2+1y^3=3),0.1082105636596679,0.0862636566162109,0.0870972946286201,0.142794301867485,0.1195350885391235,0.0891624255753786,,0.1,,,,
spiral_base_trust_polylike(1x^2+1y^3=3),0.1400174796581268,0.1597177982330322,0.0737988799810409,0.0171559629440307,0.0152724981307983,0.0110342190182557,,,35.0,5.0,1.0,"        extra_args[""iteration_func""] = lambda x: 40 if x <= 10 else 5
"
"spiral_base_dps_circle(1.5,0,1,2)+circle(1,-1,1,1)",1.4025687960383948e-05,0.0,0.0003972778504248,0.035856605052948,0.0228355526924133,0.0501777543974252,0.1,,,,,
"spiral_base_dsg_circle(1.5,0,1,2)+circle(1,-1,1,1)",1.15191933218739e-05,0.0,0.0003640866780187,0.0233115827441215,0.0158751606941223,0.0325393876169087,,0.1,,,,
"spiral_base_trust_circle(1.5,0,1,2)+circle(1,-1,1,1)",2.6940346288029104e-05,0.0,0.0008515023509971797,0.022543969452381133,0.018578648567199707,0.03277095608282674,,,35.0,5.0,1.0,"        extra_args[""iteration_func""] = lambda x: 2
"
