exp_name,constraint mean,constraint std,foot_loss_z,foot_loss_z_std,norm_pred_noise,norm_pred_noise_std,PFC,PFC_std,foot_loss_velo,foot_loss_velo_std
fixes_4950_dps_Lshape,0.20464651,0.04282108,1.300536463765178,1.7321983149033384,69.66671752929688,20.281721115112305,0.6748666130412171,0.9496663326761644,0.0013005364637651,0.0017321983149033
fixes_4950_dsg_Lshape,0.0229754634201526,0.0050533022731542,10.40631022493506,1.5809720720743834,209.30438232421875,20.28117179870605,6.764089064959844,2.310135163320339,0.010406310224935,0.0015809720720743
fixes_4950_dps_Lshape,0.2024290263652801,0.0404009595513343,1.7538139977640557,2.2679418267660294,72.38941955566406,24.1223201751709,1.1791619928698245,2.342909100241356,0.001753813997764,0.002267941826766
fixes_4950_dsg_Lshape,0.0224882941693067,0.0050833211280405,10.63772237873364,1.5985882360557184,204.3584747314453,19.74248313903809,7.323868723303632,2.051366955615741,0.0106377223787336,0.0015985882360557
fixes_4950_trust_Lshape,0.0229493323713541,0.004414761904627,11.806862421940304,1.42139848487575,127.25355529785156,18.72464179992676,9.635563048301924,4.965110393428268,0.0118068624219403,0.0014213984848757
fixes_4950_trust_Lshape,0.0232051536440849,0.0037494648713618,12.426303309473465,1.405107428742431,126.52165985107422,16.22160530090332,9.824183825943988,3.817712287575079,0.0124263033094734,0.0014051074287424
fixes_4950_trust_Lshape,0.0233000256121158,0.0044595352374017,11.772818287591267,1.3663741373257705,127.2066650390625,21.933568954467773,10.418870541280135,4.345866653030733,0.0117728182875912,0.0013663741373257
fixes_4950_trust_straight,0.007139905821532,0.0019922999199479,4.877523813893174,0.6381331466584693,116.24293518066406,24.86449813842773,2.7657508184373585,1.219541409479714,0.0048775238138931,0.0006381331466584
fixes_4950_dps_straight,0.1595009267330169,0.0493390597403049,1.1066625446042766,1.38922166777763,74.20185852050781,22.21088600158692,0.5844231277177621,0.716705517845383,0.0011066625446042,0.0013892216677776
fixes_4950_dsg_straight,0.0068423463962972,0.0021790524479001,5.315850058598678,1.9010200101858847,126.40594482421876,37.68090438842773,3.5373794404153203,1.8840805720374327,0.0053158500585986,0.0019010200101858
fixes_4950_trust_straight,0.007211007643491,0.0017952910857275,5.046638004481095,1.3040088541585722,104.25662231445312,24.23852729797364,2.9004959205042824,1.0338181443841994,0.005046638004481,0.0013040088541585
fixes_4950_dps_Lshape,0.2032370418310165,0.0425606593489646,1.2581606654668278,1.747969627569564,72.09906768798828,22.258420944213867,0.6801491898162564,1.1459738700604705,0.0012581606654668,0.0017479696275695
fixes_4950_dsg_Lshape,0.0222988650202751,0.005041962955147,10.629938001961165,1.5286823036300825,205.1296844482422,21.511445999145508,7.027306864397164,1.841371856681433,0.0106299380019611,0.00152868230363
fixes_4950_trust_Lshape,0.022694963961839676,0.004240811336785555,12.054185754024962,1.5268594788691663,125.34598541259766,18.92493438720703,9.591785054883784,5.312393096381191,0.012054185754024963,0.001526859478869166
